taxon	min_age	max_age
AncientArcticRhino	21.0	24.0
Coelodonta_antiquitatis	0.044	0.057
Stephanorhinus_dmanisi	1.76	1.77
Stephanorhinus_kirchbergensis	0.048	0.07
Fontana_Stephanorhinus	0.398	0.418
Elasmotherium_sibiricum	0.0485	0.0495
Dicerorhinus_sumatrensis	0.0	0.0
Ceratotherium_simum_simum	0.0	0.0
Rhinoceros_unicornis	0.0	0.0
Rhinoceros_sondaicus	0.0	0.0
Diceros_bicornis	0.0	0.0
Tapirus_terrestris	0.0	0.0
Tapirus_indicus	0.0	0.0
Equus_caballus	0.0	0.0
Equus_przewalskii	0.0	0.0
Equus_asinus	0.0	0.0
